Position	Mut1	Mut2	WT
91762373	8.1220615	18.05625	16.875
91762423	8.1220615	14.04375	13.125
91762473	8.1220615	18.5625	16.875
91762523	8.1220615	29.00625	24.375
91762573	8.1220615	27.7875	24.375
91762623	5.4147075	24.15	28.75
91762673	10.829415	29.09375	30.625
91762723	21.65883	23.575	28.75
91762773	21.65883	21.96875	23.125
91762823	21.65883	19.55	21.25
91762873	24.366185	19.6875	18.75
91762923	18.951477	19.0125	16.25
91762973	10.829415	10.2125	11.875
91763023	8.1220615	9.675	11.25
91763073	16.2441235	10.89375	13.125
91763123	16.2441235	9.45	11.25
91763173	24.366185	7.65	7.5
91763223	29.7808915	7.76875	6.875
91763273	27.073538	8.6625	8.75
91763323	29.7808915	5.9375	6.25
91763373	35.1956	3.525	3.75
91763423	24.366185	5.2	5
91763473	29.7808915	8.04375	6.875
91763523	24.366185	4.85	5
91763573	24.366185	5.6	5
91763623	16.2441235	5.05	5
91763673	18.951477	4.4625	3.75
91763723	24.366185	3.3125	3.125
91763773	24.366185	2.475	2.5
91763823	27.073538	1.95	1.875
91763873	24.366185	1.9125	1.875
91763923	18.951477	1.2625	1.25
91763973	24.366185	0.69375	0.625
91764023	24.366185	0.5875	0.625
91764073	24.366185	1.1125	1.25
91764123	27.073538	1.2625	1.25
91764173	32.488247	1.5375	1.875
91764223	29.7808915	2.125	2.5
91764273	24.366185	2.025	2.5
91764323	24.366185	2.04375	1.875
91764373	27.073538	1.5375	1.875
91764423	21.65883	1.725	1.875
91764473	21.65883	0.5125	0.625
91764523	16.2441235	0.5875	0.625
91764573	8.1220615	0.625	0.625
91764623	2.70735385	0.69375	0.625
91764673	5.4147075	0	0
91764723	8.1220615	0	0
91764773	8.1220615	0	0
91764823	13.536769	0.58125	0.625
91764873	16.2441235	2.2125	1.875
91764923	8.1220615	1.65	1.875
91764973	8.1220615	2.275	2.5
91765023	5.4147075	2.59375	3.125
91765073	8.1220615	2.325	2.5
91765123	8.1220615	1.475	1.25
91765173	13.536769	1.5	1.25
91765223	18.951477	2.025	1.875
91765273	16.2441235	2.11875	1.875
91765323	21.65883	2.5	2.5
91765373	18.951477	3.4375	3.125
91765423	13.536769	2.8125	3.125
91765473	21.65883	3.9375	3.75
91765523	27.073538	2.75	3.125
91765573	27.073538	4.1625	3.75
91765623	29.7808915	3.4375	3.125
91765673	27.073538	2.5	2.5
91765723	21.65883	2.23125	1.875
91765773	18.951477	2.2125	1.875
91765823	13.536769	0.55625	0.625
91765873	8.1220615	2.00625	1.875
91765923	5.4147075	2.95	2.5
91765973	5.4147075	1.95	1.875
91766023	5.4147075	2.025	1.875
91766073	5.4147075	0.75	0.625
91766123	5.4147075	0	0
91766173	5.4147075	0	0
91766223	5.4147075	0	0
91766273	2.70735385	0.55625	0.625
91766323	2.70735385	0.7125	0.625
91766373	2.70735385	0.60625	0.625
91766423	0	0.6125	0.625
